tier_price_id,id,tiered_price_starts_from,tiered_price
3049,2426,60,21.5
3197,2132,31,9.79
7,376,100,3.5
8,376,1000,3.0
9,667,300,2.0
10,667,3000,1.5
11,666,500,1.8
12,666,5000,1.3
13,238,200,2.0
14,238,1000,1.5
3198,2132,100,8.9
3199,1339,31,17.93
3327,2091,50,8.74
3328,2091,300,7.6
3329,2364,50,11.12
3330,2364,300,8.55
3331,2090,50,14.2
3332,2090,300,12.35
3333,2103,50,8.91
3334,2103,300,7.75
3335,2359,50,9.82
3336,2359,300,7.55
3337,2106,50,6.73
1933,1173,70,42.0
1934,1172,70,32.0
1935,1174,70,95.0
1936,1176,70,109.0
1937,1175,70,76.0
3338,2106,300,5.85
3339,2108,50,10.58
3340,2108,300,9.2
3341,2113,50,4.95
3342,2113,300,4.3
3343,2087,50,15.15
1938,1177,70,76.0
1939,1178,70,42.0
1940,1179,70,33.0
1941,1180,70,42.0
1942,1181,70,32.0
1943,1182,70,85.0
1944,1183,70,76.0
1945,1184,70,97.0
1946,1185,70,97.0
1947,2334,70,47.0
3344,2087,300,11.65
3345,2275,50,12.03
3346,2275,300,9.25
3347,2362,50,3.58
3348,2362,300,2.75
3349,2111,50,18.4
3350,2111,300,16.0
3351,2361,50,8.0
3352,2361,300,6.15
3353,2360,50,5.53
3200,1339,100,16.3
3201,2123,31,29.81
3202,2123,100,27.1
3203,2124,31,14.74
3204,2124,100,13.4
3205,2125,31,15.4
3206,2125,100,14.0
3207,2127,31,13.31
3208,2127,100,12.1
3209,2129,31,22.55
3210,2129,100,20.5
3211,2130,31,11.33
3212,2130,100,10.3
3213,2133,31,14.85
3214,2133,100,13.5
3215,2134,31,9.02
3216,2134,100,8.02
3217,2145,31,13.64
3218,2145,100,12.4
3219,2146,31,10.45
3220,2146,100,9.5
3221,2138,31,33.55
3222,2138,100,30.5
3223,2153,31,13.31
3224,2153,100,12.1
3225,2159,31,21.23
3226,2159,100,19.3
3227,2154,31,9.35
3228,2154,100,8.5
3229,2158,31,19.36
3230,2158,100,17.6
3231,2157,31,17.38
3232,2157,100,15.8
3233,2155,31,19.25
3234,2155,100,17.5
3235,2152,31,15.62
3236,2152,100,14.2
3237,2160,31,20.46
3238,2160,100,18.6
3239,2156,31,21.89
3240,2156,100,19.9
3241,2161,31,18.26
3242,2161,100,16.6
3243,2162,31,11.33
3244,2162,100,10.3
3245,2163,31,14.52
3246,2163,100,13.2
3050,490,50,28.35
3051,490,300,18.9
3052,659,50,18.75
3053,659,300,12.5
3054,663,50,17.25
3055,663,300,11.5
1948,2309,300,8.9
1949,2284,300,12.95
1950,2282,300,18.7
1951,2287,300,13.6
3056,657,80,19.2
1952,2299,300,9.2
1953,2308,300,6.95
3057,657,300,12.8
3058,658,50,22.43
3059,658,300,14.95
3060,487,200,15.54
