variant_id,var_colour,var_pantone,var_hex,material_id
259,007642,,,493
254,007577,,,488
1862,Black Beauty,19-3911,26262a,391
200,Orange,,,278
361,000615,,,652
369,000001,,,660
360,005751,,,651
403,- Light Earth,15-6307,b1b09f,728
412,Natural White,,,737
1640,000005,,,663
1642,000003,,,663
747,1,,,1136
812,Standard,,,1208
720,Brown,,,1101
306,main,,,565
1667,Navy,,,1809
1056,CK1470,,,1463
1062,D8794A,,,1469
1057,D7310D,,,1464
1059,brick red,19-1543,8c373e,1466
1061,YIK01,,,1468
1221,007524,,,494
1135,- Black Navy,19-4013,232f36,735
1136,- Black,19-4006,292a2d,735
1137,- Blaze Orange,17-1456,e2583e,735
1138,- Bordeaux,19-1934,782a39,735
1140,- Wild Tobacco,17-1028,907954,735
1063,D9573C,,,1470
1141,- Burnt Lava,19-1320,6e403c,735
1142,- Charcoal,19-4007,28282d,735
1088,- Olive,19-0511,545144,726
1093,- Charcoal,19-4007,28282d,728
1143,- Cinnamon,18-1030,936b4f,735
1144,- Dark Blue,19-4011,282b34,735
1089,- Charcoal,19-4007,28282d,726
1147,- Dark Moon,15-0000,b3ada7,735
1090,- Black,19-4006,292a2d,726
1084,RJ3049,,,1466
1148,- Denim,19-4028,2f3e55,735
405,Burnt Russet,19-1530,7e3940,730
1149,- Earth,17-1107,9a927f,735
1151,- Leather,19-0820,5e5347,735
1152,- Mandarin,17-1553,ce4d42,735
1153,- Navy,19-3922,262934,735
1156,- Royal Blue,19-4044,243f6c,735
401,- White Stone,13-4108,d5d5d8,726
1157,- Sage,15-0318,b2ac88,735
1158,- Sand,11-0105,ede3d2,735
1159,- Stone,11-0103,f3ece0,735
1164,- Orange Rust,18-1447,c25a3c,735
1165,- Weathered Red,18-1648,b34646,735
1092,- Black,19-4006,292a2d,728
1166,- White,11-4300,f0eee4,735
410,- Taupe,18-0403,625d5d,735
1094,- Navy,19-3920,2b2e43,728
1085,Black,19-4006,292a2d,730
1087,Scarab,19-5350,23312d,730
366,004487,,,657
255,007149,,,489
1206,10130,,,844
260,006252,,,494
1195,- Charcoal,19-4007,28282d,731
1174,Camel,18-1030,936b4f,734
1207,10006,,,844
359,006885,,,650
1587,10012,,,843
1588,10029,,,843
1589,10031,,,843
1601,10127,,,843
1602,10128,,,843
1188,- Aloe,17-0620,817a60,733
1189,- Black Navy,19-4013,232f36,733
1190,- Caramel,16-1212,b49f89,733
1196,- Navy,19-3920,2b2e43,731
1176,Leather,19-0820,5e5347,734
1203,10002,,,844
1200,10008,,,844
1210,001705,,,497
1178,Moss Green,19-0511,545144,734
1209,004093,,,497
1191,- Petrol,19-4035,305679,733
232,caviar,19-4006,292a2d,390
1193,- Bottle Green,19-5212,303d3c,733
1181,Snow White,11-0602,f2f0eb,734
1208,007472,,,497
1214,003749,,,497
1177,Cabaret,18-2140,cb3373,734
1213,001706,,,497
1215,004061,,,497
1198,10001,,,844
1217,000615,,,497
1183,Sand,11-0105,ede3d2,734
1199,10007,,,844
1216,002523,,,497
1182,Spruce Green,19-5212,303d3c,734
1204,10003,,,844
1179,Navy,19-3920,2b2e43,734
1172,Black,19-4006,292a2d,734
1220,007318,,,494
1222,003247,,,494
1223,005008,,,494
1224,008250,,,494
1227,003417,,,494
1218,001578,,,494
1225,004868,,,494
1173,Bordeaux,19-1934,782a39,734
1647,000007,,,663
1648,000006,,,663
1650,000009,,,663
928,natural,16-1310,aa907d,1335
1649,000011,,,663
1669,Orange,,,1811
1668,Black,,,1810
1232,006317,,,497
1577,10002,,,843
1578,10003,,,843
1579,10004,,,843
1580,10005,,,843
1581,10006,,,843
1582,10007,,,843
1583,10008,,,843
1584,10009,,,843
1585,10010,,,843
1603,10129,,,843
1604,10130,,,843
1387,007906,,,489
1866,Greige,,,1668
1386,005785,,,489
1388,006981,,,489
1391,007233,,,489
1389,007232,,,489
1390,007755,,,489
1392,006982,,,489
1459,010301,,,491
364,008296,,,655
1463,010408,,,491
1464,010302,,,491
1576,caviar,19-4006,292a2d,1793
1462,010404,,,491
423,dark blue,19-4035,305679,795
1964,Purple,,,2014
257,010014,,,491
791,clay,15-1231,d2a172,1187
463,Grey,,,844
2023,8,,,1136
2021,6,,,1136
2018,3,,,1136
933,natural,16-1310,aa907d,1340
1490,Black,19-4305,363838,1144
1494,010135,,,490
1497,010010,,,490
938,natural,16-1310,aa907d,1345
1482,lily pad,16-5807,818f84,1735
937,natural,16-1310,aa907d,1344
1483,pirate black,19-4305,363838,190
1485,dark navy,19-4013,232f36,1340
1495,010014,,,490
1496,010152,,,490
1487,dark green,19-5513,314f40,1335
1499,010331,,,490
1500,010205,,,490
1498,010018,,,490
719,dark green,19-5513,314f40,1100
721,Red,,,1102
1652,reactive dyes acc. Reach,,,1800
1573,All Black,,,736
1586,10011,,,843
1405,Black,,,1668
1481,humus,15-1304,b7a793,1735
1488,Red,,,1345
1489,Yellow,,,1345
1066,D9629C,,,1473
1590,10032,,,843
1055,D5547C,,,1462
1555,Greige Fabric,,,794
1060,RJ4090,,,1467
1058,RI5032,,,1465
1086,Blaze Orange,17-1452,d15837,730
1091,Parisian Blue,18-4036,4f7ca4,729
1551,Black,19-4305,363838,794
1655,00001,,,1803
422,Brown,,,794
1131,- Azzurro,18-4417,436573,735
1105,- Baked Apple,17-1545,bb4a4d,731
1550,Acqua Blue,,,1785
755,gray green,16-0518,a49a79,1144
145,fudge,19-1619,493338,190
1844,000006,,,660
373,001780,,,664
404,Ensign Blue,19-4026,384c67,729
462,10001,,,843
411,Natural White,,,736
371,000007,,,662
1180,Olive,19-0511,545144,734
1192,- Safari Green,18-0820,695e4b,733
1205,10129,,,844
1134,- Bitter Chocolate,19-1106,392d2b,735
1139,- British Racing Green,19-6110,37413a,735
1145,- Dark Green,19-5232,15463e,735
1150,- Gold Nugget,14-1036,d6af66,735
1155,- Red,19-1761,ac0e2e,735
1160,- Swiss Red,19-1764,b31a38,735
1167,- Caramel,16-1212,b49f89,735
1197,- Olive,19-0511,545144,731
748,1,,,1137
813,Standard,,,1209
795,Standard,,,1191
1184,- Nut,16-1334,b69574,733
1260,pirate black,19-4305,363838,1187
1385,007191,,,489
1393,007295,,,489
1219,006088,,,494
1226,007723,,,494
1840,000002,,,660
1841,000003,,,660
1842,000004,,,660
1843,000005,,,660
1845,000007,,,660
1846,000008,,,660
1847,000009,,,660
1848,000010,,,660
1849,000011,,,660
1850,000012,,,660
1851,000013,,,660
1852,000014,,,660
1853,000015,,,660
1856,000018,,,660
1858,000020,,,660
1859,000021,,,660
1484,Black,,,1344
2017,2,,,1136
1554,Greige Fabric,,,1144
2025,2,,,1137
2029,6,,,1137
2030,7,,,1137
1079,Wild Blue,18-3949,3850a0,391
1574,cabernet,19-1724,64242e,391
1575,mood indigo,19-4025,353a4c,391
1,pirate black,19-4305,363838,25
1549,Acqua Blue,,,1784
1626,pirate black,19-4305,363838,190
1591,10041,,,843
1592,10118,,,843
1593,10119,,,843
1594,10120,,,843
1595,10121,,,843
1596,10122,,,843
1597,10123,,,843
1598,10124,,,843
1599,10125,,,843
1600,10126,,,843
