id,status,type,quantity,requested_at,closed_at,delay_days,delay_note,material_id,user_id,project_id,created_at,updated_at,order_id,price,price_unit,surcharge,accepted_at,deleted_at,origin_quantity,variant_id,currency,bought_price
1008,delayed,swatch,1,2020-11-02T15:54:30.176Z,2021-05-26T06:41:30.280Z,5,"Swatch is only available in 1 colour, but we can attach small colour cards together with the swatch",734,311,,2020-11-02T15:54:03.217Z,2021-05-26T06:41:30.286Z,,0,,,2020-11-03T21:24:54.864Z,,,409,,
1692,delivered,swatch,1,2021-04-29T16:17:53.656Z,,,,842,284,,2021-04-29T16:04:03.924Z,2021-05-26T06:51:30.411Z,234,2,,,,,,461,USD,2
1699,delivered,swatch,1,2021-04-29T16:17:53.656Z,,,,2130,284,,2021-04-29T16:06:24.931Z,2021-05-26T06:51:30.706Z,234,2,,,,,,2158,USD,2
272,delayed,sample,10,2020-06-01T04:47:47.012Z,2020-06-01T05:09:14.777Z,14,,198,7,,2020-06-01T04:47:38.659Z,2020-09-02T07:50:58.927Z,,9.2,,20,,,,153,,0
30,delivered,sample,3,2019-10-23T15:00:20.698Z,,,,500,69,,2020-01-13T04:15:35.696Z,2021-05-03T19:23:37.889Z,72,20.57,,,,,,266,USD,61.71
1767,initial,sample,2,2021-05-28T11:08:31.697Z,2021-05-30T12:24:11.772Z,,,2336,101,,2021-05-18T18:55:39.393Z,2021-05-30T12:24:11.781Z,,0.82,,,,,,2595,,0
31,delivered,sample,3,2019-10-23T15:00:39.184Z,,,,499,69,,2020-01-13T04:15:35.714Z,2021-05-03T19:23:37.918Z,72,20.57,,,,,,265,USD,61.71
32,delivered,sample,3,2019-10-23T15:00:54.205Z,,,,501,69,,2020-01-13T04:15:35.732Z,2021-05-03T19:23:37.933Z,72,26.29,,,,,,267,USD,78.87
25,delivered,sample,6,2019-09-25T09:33:51.081Z,,0,"there are some stocks available,but should wait for 1~3 work days.",390,69,,2020-01-13T04:07:19.323Z,2021-05-03T19:23:37.947Z,71,5,,,,,,232,USD,30
26,delivered,sample,10,2019-09-25T10:00:52.508Z,,0,"there are some stocks available,but should wait for 1~3 work days.",389,69,,2020-01-13T04:07:19.350Z,2021-05-03T19:23:37.962Z,71,5,,,,,,231,USD,50
1810,delivered,swatch,1,2021-06-01T16:47:12.097Z,,,,1548,533,,2021-06-01T16:45:40.688Z,2021-06-15T09:24:02.538Z,254,2,,,,,,1276,EUR,1.65
1808,delivered,swatch,1,2021-06-01T16:47:12.097Z,,,,1140,533,,2021-06-01T16:43:37.036Z,2021-06-15T09:24:02.727Z,254,2,,,,,,751,EUR,1.65
1876,delivered,swatch,1,2021-06-18T16:32:01.413Z,,,,2531,168,,2021-06-18T16:31:23.761Z,2021-07-12T08:23:46.855Z,263,2,,,,,,2792,EUR,1.67
21,delivered,sample,4,2019-10-23T14:59:24.139Z,,0,"available cols. 1852 + 7917 
Pls confirm which col. you prefer.",492,69,,2020-01-13T03:36:09.963Z,2021-05-03T19:23:38.009Z,72,10.89,,,,,,258,USD,43.56
