id,created_at,updated_at,code,fabric_weave,currency,supplier_id,price,name,fabric_blend_one,fabric_blend_one_percent,fabric_blend_two,fabric_blend_two_percent,fabric_blend_three,fabric_blend_three_percent,weight,weight_unit,end_use/0,end_use/1,end_use/2,fabric_type,price_unit,status,deleted_at,only_for_brands/0,published,description,dispatch_time_sample,factory_location,construction,width,width_unit,finishing,properties/0,dispatch_time_mass_quantity_min,dispatch_time_mass_quantity_max,origin,colour,tsa_stamps,minimal_order_quantity,crowd_source_available,moq_details,uuid,notify_fc_team,moq,swatch_price,swatch_quantity,archived_at,end_use/3,end_use/4,only_for_brands/1,properties/1,properties/2,properties/3,properties/4,properties/5,properties/6,properties/7,only_for_brands/2,end_use/5,properties/8,only_for_brands/3,only_for_brands/4,only_for_brands/5,only_for_brands/6,only_for_brands/7,end_use/6,end_use/7,only_for_brands/8,only_for_brands/9,only_for_brands/10,only_for_brands/11,only_for_brands/12,only_for_brands/13,only_for_brands/14,only_for_brands/15,only_for_brands/16,only_for_brands/17,only_for_brands/18,only_for_brands/19,only_for_brands/20,only_for_brands/21,only_for_brands/22
2253,2021-04-13T14:32:14.096Z,2021-07-28T08:59:59.993Z,C201069,Ripstop,EUR,23,11.9,XXXXXXXXXXganic Cotton,Organic Cotton,100,,,,,310,g/m2,Coat,Jacket,Pants,Woven,m,public,,,TRUE,,5-7 days,Italy,,144,cm,,,63,70,,,,0,,,d1c3ebfe-2633-4df0-b2ed-7877f6d3b639,FALSE,0,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,2020-01-30T10:24:36.482Z,2021-06-18T04:11:19.866Z,Checkered Stripes,,USD,25,13.52,XXXXXXXXXXStripes TENCEL,TENCEL Lyocell,100,,,,,,g/m2,Dress,Pants,Skirt,Handwoven,m,public,,,TRUE,"TENCEL™ Lyocell fibres are derived from sustainable wood sources, harvested from certified and controlled sources following stringent guidelines of the Lenzing Wood and Pulp Policy. TENCEL™ Lyocell fibres are produced in an environmentally responsible closed loop production process based on solvent-spinning. There might be variation in appearance of the fabric as it is handwoven. Fabric width, design, weave, colour can be customised.",30,India,,112,cm,,,45,50,virtualexpo,"black, blue & biege","Wat, En, WASTE, Ethical",50,,,e3a87dbd-2844-42d2-ad3d-32475206b46a,FALSE,50,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947,2020-06-04T14:11:02.191Z,2021-05-11T12:31:46.481Z,Low MOQ Sr 11,Plain,USD,27,1.8,XXXXXXXXXXtton (40sx40s/136x70),Organic Cotton,100,,,,,134,g/m2,Shirt,,,Woven,m,public,,,TRUE,NO LEAD TIMES – ALWAYS IN STOCK (GREIGE AND RFD). Yarn Type: Compact X Combed,5-7 days,India,,112,cm,,,5,7,,,,150,,,c938b0d1-a70f-4b35-9563-ab1a1b5ba425,FALSE,150,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2276,2021-04-30T09:47:50.602Z,2021-07-29T15:00:06.378Z,CIAO/ORG,Terry,EUR,44,15.9,XXXXXXXXXXerry Organic Cotton,Organic Cotton,100,,0,,0,460,g/m2,Sweatshirt,Leggings / Yoga Pants,Blouse,Knit,m,public,,,TRUE,"Organic fibres are grown using a production system that replenishes the soil and maintains its fertility. No synthetic pesticides nor synthetic fertilizers are allowed, while at the same time contributing to biologically diverse agriculture. The organic cotton is certified by ICEA and Tessile Bio from AIAB association.",5-7 days,Italy,,130,cm,,,28,35,virtualexpo,,,50,FALSE,,8aaf3c7b-b2c7-42f6-b447-b51a47241fde,FALSE,50,2,36,,Tracksuit,Cardigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,2020-12-09T15:16:21.547Z,2021-06-19T04:39:06.515Z,#0014BK11B0000,,USD,67,32,XXXXXXXXXX0000,Recycled Cow Leather,60,Natural / Synthetic Latex,30,,,800,g/m2,Bags & Wallets,Shoes,,Leather / Skin,m,private,,Archive,TRUE,"This new material is made from recycled leather. At production stage,  recycled leather scraps are being shredded and then further processed into a new leather-like material. The leather scraps are obtained from garden gloves factories which are usually sent to landfill. FOR SAMPLE, PLEASE ORDER THE RECYC LEATHER SWATCH BOOK",3 days,China,Panel size: 135 cm x 110cm,135,cm,Contains 10% natural pigment.,,30,35,virtualexpo,,,300,,Unit: Per Panel. 2/3 colours assorted.,3b12dda3-66c6-4517-b0b1-8d8cc19881d6,FALSE,300,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,2021-01-25T07:56:14.979Z,2021-06-18T12:40:02.042Z,BP-RCHCR170PN0,Plain,USD,18,0,XXXXXXXXXXbased Polyester,Recycled Polyester,55,Bio-based Polyester,45,,,136,g/m2,,,,Woven,m,private,,MCM Worldwide,TRUE,,5-7 days,Taiwan,116T*76T/75D*150D,145,cm,Clear membrane,Durable Water Repellent (DWR),,,,,,0,,,dadfb18f-3e08-4c58-9e79-d4999ad2b2a3,FALSE,0,2,4,,,,Takalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,2020-12-02T21:31:08.008Z,2021-06-18T12:40:02.584Z,N66-NF53PK0,,USD,18,18.05,XXXXXXXXXXn Nylon,Nylon / Polyamide,100,,0,,0,77,g/m2,Hardshell Jacket,Jacket,,Woven,yard,public,,,TRUE,N66 Nylon,5-7 days,Taiwan,206T*180T/20D*20D,144,cm,"FC-FREE DWR+3LAYER+Xpore PFC FREE NANO POROUS MEMB 15K/10K(JIS A1)+NYLON 10D TRICOT (A/P 0.15ccs,ASTM D737)",Air Permeability,,,,,,3000,,"UNDER MOQ-->WEAVING SURCHARGE USD $200, MCQ:1000Y UNDER MCQ->DYEING SUCHARGE USD $200/COL",e5aa4dae-587e-4b7a-a258-fb3f939a81eb,FALSE,3000,2,8,,,,,Breathable,Durable Water Repellent (DWR),Moisture Permeability (M/P),Water Repellent (W/R),Waterproof (W/P),Light Weight,Wind Proof,,,,,,,,,,,,,,,,,,,,,,,,,
1944,2021-01-25T07:56:14.605Z,2021-06-18T12:40:03.028Z,NOP-712P44,Dobby,USD,18,0,XXXXXXXXXXn Elastane,Nylon / Polyamide,84,Elastane / OP / Spandex,16,,,85,g/m2,,,,Woven,m,private,,MCM Worldwide,TRUE,Recycled version available,5-7 days,Taiwan,193T*178T/(30D+20OP)*(30D+20OP+45D),137,cm,FC-FREE DWR,Durable Water Repellent (DWR),,,,,,0,,,220e2c8f-ec32-4d02-b50a-e4544bea358c,FALSE,0,2,4,,,,Takalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,2021-01-25T07:56:14.065Z,2021-06-18T12:40:04.271Z,RC112APQK,Ripstop,USD,18,18.05,XXXXXXXXXXtop Recycled Polyester,Recycled Polyester,100,,,,,98,g/m2,Hardshell Jacket,Jacket,,Woven,m,private,,Dimpora,TRUE,"22800m of greige fabric immediately available, shorter lead-time than usual",5-7 days,Taiwan,209T*158T/30D*30D,142,cm,C6 DWR+3LAYER+Xpore PFC FREE NANO POROUS MEMBRANE W/P 12000mm MVP 8000g/24H(JIS A1)PK334A,Breathable,,,,,,3000,FALSE,"UNDER MOQ-->WEAVING SURCHARGE USD $200, MCQ:1000Y UNDER MCQ->DYEING SUCHARGE USD $250/COL",a01c5b02-2492-49b7-a9e5-907f63455a68,FALSE,3000,2,4,,,,Takalar,Durable Water Repellent (DWR),Waterproof (W/P),,,,,,MCM Worldwide,,,,,,,,,,,,,,,,,,,,,,,,
2480,2021-06-17T16:07:31.921Z,2021-06-19T05:19:34.550Z,REOX 5016-PE,,USD,68,0,XXXXXXXXXXPE,Recycled Polyester,100,,,,,310,g/m2,,,,Woven,m,private,,,TRUE,,5 days,China,,144,cm,,,30,40,virtualexpo,,,3000,,"MOQ: SMS orders (below MOQ but > 300 meter) are possible with surcharge. MCQ: 1000 meter (below MCQ possible with dyeing surcharge of $200/colour for SMS, or $300/colour for Bulk)",M-240b9d2c15b6618-46-136,FALSE,3000,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
