id,name,fabric_factory_country,dyeing_factory_country,created_at,updated_at,website,fabric_type,specialty,end_uses,fibers,status,deleted_at,years_of_work,origin,ban_selling_fabrics,currency
89,XXXXXXXXXX,,,2021-07-30T12:33:08.970Z,2021-07-30T12:33:08.970Z,pigXXXXXXXXXXXXXXXXXX,,,,,pending,,,,,USD
88,XXXXXXXXXX,,,2021-07-21T08:19:17.446Z,2021-07-21T08:19:17.446Z,wwwXXXXXXXXXXXXXXXXXX,,,,,pending,,,,,USD
87,XXXXXXXXXX Citra Pratama,,,2021-07-03T06:01:52.385Z,2021-07-03T06:01:52.385Z,wwwXXXXXXXXXXXXXXXXXX,,,,,pending,,,,,USD
86,XXXXXXXXXXon Village,,,2021-06-23T05:28:59.215Z,2021-06-23T05:28:59.215Z,httXXXXXXXXXXXXXXXXXX,,,,,pending,,,,,USD
85,XXXXXXXXXXRIALS SCIENCE SRL,,,2021-06-01T09:52:54.949Z,2021-06-01T13:31:14.520Z,httXXXXXXXXXXXXXXXXXX,,,,,pending,2021-06-01T13:31:14.520Z,,,,
84,XXXXXXXXXXGLI,,,2021-05-19T13:46:23.706Z,2021-05-20T14:05:21.380Z,httXXXXXXXXXXXXXXXXXX,,,,,pending,2021-05-20T14:05:21.380Z,,,,
83,XXXXXXXXXX,,,2021-05-12T14:23:53.909Z,2021-05-18T11:49:55.643Z,tinXXXXXXXXXXXXXXXXXX,,,,,pending,2021-05-18T11:49:55.643Z,,,,
82,XXXXXXXXXX,,,2021-05-07T16:52:37.966Z,2021-05-24T14:08:03.678Z,n/aXXXXXXXXXXXXXXXXXX,,,,,pending,2021-05-24T14:08:03.678Z,,,,
81,XXXXXXXXXX,,,2021-05-07T16:47:36.814Z,2021-05-12T08:35:48.270Z,n/aXXXXXXXXXXXXXXXXXX,,,,,pending,2021-05-12T08:35:48.270Z,,,,
80,XXXXXXXXXXgli Srl,,,2021-04-29T16:07:05.433Z,2021-06-03T10:49:29.742Z,httXXXXXXXXXXXXXXXXXX,"Knit, Pile Fabric",,,"Wool, Recycled Wool",active,,,,FALSE,EUR
79,XXXXXXXXXXoach,,,2021-04-23T18:35:45.367Z,2021-04-28T15:30:21.703Z,wwwXXXXXXXXXXXXXXXXXX,,,,,disabled,2021-04-28T15:30:21.703Z,,,,
78,XXXXXXXXXXey,,,2021-03-26T07:22:34.297Z,2021-06-16T12:29:53.183Z,N/AXXXXXXXXXXXXXXXXXX,,,,,pending,2021-06-16T12:29:53.183Z,,,,USD
77,XXXXXXXXXXno,,,2021-03-22T11:34:58.771Z,2021-03-25T13:16:22.495Z,no XXXXXXXXXXXXXXXXXX,,,,,pending,2021-03-25T13:16:22.495Z,,,,
76,XXXXXXXXXXiles S.A.,,,2021-03-22T09:26:57.443Z,2021-06-01T08:51:07.578Z,httXXXXXXXXXXXXXXXXXX,Knits,Sustainable Knits,,"Rec. Synthetics, Organic Cotto",active,,,,FALSE,EUR
75,XXXXXXXXXX,,,2021-03-17T14:19:00.220Z,2021-06-03T10:49:49.033Z,httXXXXXXXXXXXXXXXXXX,Others,Innovative tech & bio-engineered materials,Insulated Jacket,FLWRDWN,active,,,,FALSE,EUR
74,XXXXXXXXXXe,,,2021-02-18T17:54:40.549Z,2021-02-18T18:08:01.354Z,hodXXXXXXXXXXXXXXXXXX,,,,,pending,2021-02-18T18:08:01.354Z,,,,
73,XXXXXXXXXXot,,,2021-01-29T15:48:20.349Z,2021-07-13T14:09:00.642Z,httXXXXXXXXXXXXXXXXXX,"Knit, Jacquard, Jersey",,,,active,,,,FALSE,USD
72,XXXXXXXXXX,,,2021-01-14T09:44:47.152Z,2021-05-04T05:43:56.243Z,httXXXXXXXXXXXXXXXXXX,Woven,,"Home interior, Accessories",Cottonseed Hull,active,,,,FALSE,USD
71,XXXXXXXXXXral Laboratory by Hermin,,,2021-01-14T09:20:32.461Z,2021-02-10T08:20:37.236Z,httXXXXXXXXXXXXXXXXXX,Woven,Performance Natural Fibre,Performance,Cotton,active,,,,FALSE,USD
70,XXXXXXXXXXTS & LOOM,,,2021-01-14T09:11:15.208Z,2021-02-10T12:06:47.964Z,httXXXXXXXXXXXXXXXXXX,,Organic Peace Silk,,Organic Peace Silk,active,,,,FALSE,USD
69,XXXXXXXXXX,,,2020-12-15T12:15:36.011Z,2021-02-25T09:33:28.059Z,wwwXXXXXXXXXXXXXXXXXX,Membrane,Performance Membrane,Performance wear,"Synthetics, Bio-synthetics",active,,,,TRUE,USD
68,XXXXXXXXXX,,,2020-12-09T20:37:17.735Z,2021-01-14T09:55:47.240Z,wwwXXXXXXXXXXXXXXXXXX,Woven,Post consumer recycled synthetics,Outerwear,Recycled Synthetics,active,,,,FALSE,USD
67,XXXXXXXXXXher,,,2020-12-09T15:15:27.871Z,2021-03-25T11:02:04.030Z,httXXXXXXXXXXXXXXXXXX,Others,Sustainable Leather ,"Accessories, Leather Goods, Luxury, New Innovation",Leather / Skin,active,,,,FALSE,USD
66,XXXXXXXXXXher,,,2020-12-09T14:10:26.883Z,2020-12-09T15:14:34.152Z,httXXXXXXXXXXXXXXXXXX,,,"Accessories, Leather Goods, Luxury",Leather / Skin,active,2020-12-09T15:14:34.152Z,,,TRUE,
65,XXXXXXXXXXdiotextil,,,2020-11-22T12:33:43.846Z,2020-12-02T12:00:18.086Z,httXXXXXXXXXXXXXXXXXX,,,,,pending,2020-12-02T12:00:18.086Z,,,,
64,XXXXXXXXXXgieva,,,2020-10-23T15:44:00.442Z,2021-06-16T12:30:04.813Z,#NAME?,,,,,pending,2021-06-16T12:30:04.813Z,,,,USD
63,XXXXXXXXXX,,,2020-10-07T07:55:42.157Z,2020-10-07T09:23:16.793Z,httXXXXXXXXXXXXXXXXXX,Knit,,Activewear,Synthetics,active,,,,,USD
62,XXXXXXXXXX,,,2020-09-26T05:59:02.128Z,2020-09-26T05:59:39.790Z,httXXXXXXXXXXXXXXXXXX,,,,,active,,,,,USD
61,XXXXXXXXXXE,,,2020-09-08T15:13:11.688Z,2020-09-11T09:34:35.303Z,wwwXXXXXXXXXXXXXXXXXX,Handwoven,"Small Order, Wovens",,Natural Fibre,active,,,virtualexpo,,USD
60,XXXXXXXXXXla,,,2020-09-05T13:31:36.356Z,2020-09-10T08:35:15.375Z,wwwXXXXXXXXXXXXXXXXXX,,,,,active,2020-09-10T08:35:15.375Z,,,,
59,XXXXXXXXXXtil,,,2020-08-28T11:08:44.358Z,2020-08-28T11:35:32.885Z,httXXXXXXXXXXXXXXXXXX,Knit,,,"TENCEL, Organic Cotton",active,,,,,USD
58,XXXXXXXXXX,,,2020-08-27T19:15:54.239Z,2020-08-27T19:16:49.520Z,httXXXXXXXXXXXXXXXXXX,,,,,active,,,,,USD
57,XXXXXXXXXXuti,,,2020-07-16T19:36:38.043Z,2021-06-03T10:52:14.376Z,httXXXXXXXXXXXXXXXXXX,Woven,,,"Hemp, Organic Cotton, Wool",active,,,,FALSE,EUR
56,XXXXXXXXXXiola,,,2020-07-15T13:17:04.240Z,2020-07-15T13:34:18.844Z,wwwXXXXXXXXXXXXXXXXXX,,,,,pending,2020-07-15T13:34:18.844Z,,,,
55,XXXXXXXXXX,,,2020-07-08T08:37:52.982Z,2021-01-14T10:26:52.525Z,httXXXXXXXXXXXXXXXXXX,"Woven, Knit",Upcycled materials,,"recycled cotton, jute, linen, silk, EcoVero viscose, recycled polyester fibers from PET bottles",active,,,,FALSE,USD
54,XXXXXXXXXXu,,,2020-07-06T04:22:54.649Z,2021-06-03T10:53:02.180Z,httXXXXXXXXXXXXXXXXXX,Leather / Plant leaf,Sustainable Leather,Garments/ Accessories/ Upholst,,active,,,virtualexpo,FALSE,EUR
53,XXXXXXXXXX,,,2020-07-03T11:56:52.570Z,2020-07-21T13:54:22.091Z,pwrXXXXXXXXXXXXXXXXXX,,,,,active,2020-07-21T13:54:22.091Z,,,,
52,XXXXXXXXXX,,,2020-07-01T09:34:43.374Z,2020-07-14T10:03:49.466Z,WWWXXXXXXXXXXXXXXXXXX,,,,,pending,2020-07-14T10:03:49.466Z,,,,
51,XXXXXXXXXXARTI SA DE CV,,,2020-06-30T18:33:35.712Z,2020-07-01T07:25:21.778Z,wwwXXXXXXXXXXXXXXXXXX,,"Innovative, Leather, Small Order",,,active,2020-07-01T07:25:21.778Z,,virtualexpo,,
