id,material_id,starts_from,price,created_at,updated_at
3049,2426,60,21.5,2021-07-27T17:01:40.734Z,2021-07-27T17:01:40.734Z
3197,2132,31,9.79,2021-07-29T15:04:05.979Z,2021-07-29T15:04:05.979Z
7,376,100,3.5,2021-04-16T05:27:29.967Z,2021-04-16T05:27:29.967Z
8,376,1000,3,2021-04-16T05:27:29.970Z,2021-04-16T05:27:29.970Z
9,667,300,2,2021-04-16T05:27:29.997Z,2021-04-16T05:27:29.997Z
10,667,3000,1.5,2021-04-16T05:27:30.000Z,2021-04-16T05:27:30.000Z
11,666,500,1.8,2021-04-16T05:27:30.197Z,2021-04-16T05:27:30.197Z
12,666,5000,1.3,2021-04-16T05:27:30.200Z,2021-04-16T05:27:30.200Z
13,238,200,2,2021-04-16T05:27:30.221Z,2021-04-16T05:27:30.221Z
14,238,1000,1.5,2021-04-16T05:27:30.224Z,2021-04-16T05:27:30.224Z
3198,2132,100,8.9,2021-07-29T15:04:05.982Z,2021-07-29T15:04:05.982Z
3199,1339,31,17.93,2021-07-29T15:04:06.186Z,2021-07-29T15:04:06.186Z
3327,2091,50,8.74,2021-07-29T15:11:11.325Z,2021-07-29T15:11:11.325Z
3328,2091,300,7.6,2021-07-29T15:11:11.327Z,2021-07-29T15:11:11.327Z
3329,2364,50,11.12,2021-07-29T15:11:11.350Z,2021-07-29T15:11:11.350Z
3330,2364,300,8.55,2021-07-29T15:11:11.353Z,2021-07-29T15:11:11.353Z
3331,2090,50,14.2,2021-07-29T15:11:11.382Z,2021-07-29T15:11:11.382Z
3332,2090,300,12.35,2021-07-29T15:11:11.384Z,2021-07-29T15:11:11.384Z
3333,2103,50,8.91,2021-07-29T15:11:11.410Z,2021-07-29T15:11:11.410Z
3334,2103,300,7.75,2021-07-29T15:11:11.413Z,2021-07-29T15:11:11.413Z
3335,2359,50,9.82,2021-07-29T15:11:11.433Z,2021-07-29T15:11:11.433Z
3336,2359,300,7.55,2021-07-29T15:11:11.436Z,2021-07-29T15:11:11.436Z
3337,2106,50,6.73,2021-07-29T15:11:11.461Z,2021-07-29T15:11:11.461Z
1933,1173,70,42,2021-06-18T05:45:50.472Z,2021-06-18T05:45:50.472Z
1934,1172,70,32,2021-06-18T05:45:50.507Z,2021-06-18T05:45:50.507Z
1935,1174,70,95,2021-06-18T05:45:50.533Z,2021-06-18T05:45:50.533Z
1936,1176,70,109,2021-06-18T05:45:50.560Z,2021-06-18T05:45:50.560Z
1937,1175,70,76,2021-06-18T05:45:50.587Z,2021-06-18T05:45:50.587Z
3338,2106,300,5.85,2021-07-29T15:11:11.463Z,2021-07-29T15:11:11.463Z
3339,2108,50,10.58,2021-07-29T15:11:11.487Z,2021-07-29T15:11:11.487Z
3340,2108,300,9.2,2021-07-29T15:11:11.490Z,2021-07-29T15:11:11.490Z
3341,2113,50,4.95,2021-07-29T15:11:11.518Z,2021-07-29T15:11:11.518Z
3342,2113,300,4.3,2021-07-29T15:11:11.520Z,2021-07-29T15:11:11.520Z
3343,2087,50,15.15,2021-07-29T15:11:11.540Z,2021-07-29T15:11:11.540Z
1938,1177,70,76,2021-06-18T05:45:50.614Z,2021-06-18T05:45:50.614Z
1939,1178,70,42,2021-06-18T05:45:50.641Z,2021-06-18T05:45:50.641Z
1940,1179,70,33,2021-06-18T05:45:50.667Z,2021-06-18T05:45:50.667Z
1941,1180,70,42,2021-06-18T05:45:50.694Z,2021-06-18T05:45:50.694Z
1942,1181,70,32,2021-06-18T05:45:50.721Z,2021-06-18T05:45:50.721Z
1943,1182,70,85,2021-06-18T05:45:50.748Z,2021-06-18T05:45:50.748Z
1944,1183,70,76,2021-06-18T05:45:50.774Z,2021-06-18T05:45:50.774Z
1945,1184,70,97,2021-06-18T05:45:50.802Z,2021-06-18T05:45:50.802Z
1946,1185,70,97,2021-06-18T05:45:50.828Z,2021-06-18T05:45:50.828Z
1947,2334,70,47,2021-06-18T05:45:50.871Z,2021-06-18T05:45:50.871Z
3344,2087,300,11.65,2021-07-29T15:11:11.543Z,2021-07-29T15:11:11.543Z
3345,2275,50,12.03,2021-07-29T15:11:11.562Z,2021-07-29T15:11:11.562Z
3346,2275,300,9.25,2021-07-29T15:11:11.565Z,2021-07-29T15:11:11.565Z
3347,2362,50,3.58,2021-07-29T15:11:11.584Z,2021-07-29T15:11:11.584Z
3348,2362,300,2.75,2021-07-29T15:11:11.586Z,2021-07-29T15:11:11.586Z
3349,2111,50,18.4,2021-07-29T15:11:11.610Z,2021-07-29T15:11:11.610Z
3350,2111,300,16,2021-07-29T15:11:11.612Z,2021-07-29T15:11:11.612Z
3351,2361,50,8,2021-07-29T15:11:11.632Z,2021-07-29T15:11:11.632Z
3352,2361,300,6.15,2021-07-29T15:11:11.634Z,2021-07-29T15:11:11.634Z
3353,2360,50,5.53,2021-07-29T15:11:11.653Z,2021-07-29T15:11:11.653Z
3200,1339,100,16.3,2021-07-29T15:04:06.188Z,2021-07-29T15:04:06.188Z
3201,2123,31,29.81,2021-07-29T15:04:06.210Z,2021-07-29T15:04:06.210Z
3202,2123,100,27.1,2021-07-29T15:04:06.213Z,2021-07-29T15:04:06.213Z
3203,2124,31,14.74,2021-07-29T15:04:06.236Z,2021-07-29T15:04:06.236Z
3204,2124,100,13.4,2021-07-29T15:04:06.238Z,2021-07-29T15:04:06.238Z
3205,2125,31,15.4,2021-07-29T15:04:06.260Z,2021-07-29T15:04:06.260Z
3206,2125,100,14,2021-07-29T15:04:06.262Z,2021-07-29T15:04:06.262Z
3207,2127,31,13.31,2021-07-29T15:04:06.284Z,2021-07-29T15:04:06.284Z
3208,2127,100,12.1,2021-07-29T15:04:06.287Z,2021-07-29T15:04:06.287Z
3209,2129,31,22.55,2021-07-29T15:04:06.308Z,2021-07-29T15:04:06.308Z
3210,2129,100,20.5,2021-07-29T15:04:06.310Z,2021-07-29T15:04:06.310Z
3211,2130,31,11.33,2021-07-29T15:04:06.332Z,2021-07-29T15:04:06.332Z
3212,2130,100,10.3,2021-07-29T15:04:06.334Z,2021-07-29T15:04:06.334Z
3213,2133,31,14.85,2021-07-29T15:04:06.356Z,2021-07-29T15:04:06.356Z
3214,2133,100,13.5,2021-07-29T15:04:06.359Z,2021-07-29T15:04:06.359Z
3215,2134,31,9.02,2021-07-29T15:04:06.382Z,2021-07-29T15:04:06.382Z
3216,2134,100,8.02,2021-07-29T15:04:06.385Z,2021-07-29T15:04:06.385Z
3217,2145,31,13.64,2021-07-29T15:04:06.407Z,2021-07-29T15:04:06.407Z
3218,2145,100,12.4,2021-07-29T15:04:06.410Z,2021-07-29T15:04:06.410Z
3219,2146,31,10.45,2021-07-29T15:04:06.433Z,2021-07-29T15:04:06.433Z
3220,2146,100,9.5,2021-07-29T15:04:06.436Z,2021-07-29T15:04:06.436Z
3221,2138,31,33.55,2021-07-29T15:04:06.457Z,2021-07-29T15:04:06.457Z
3222,2138,100,30.5,2021-07-29T15:04:06.459Z,2021-07-29T15:04:06.459Z
3223,2153,31,13.31,2021-07-29T15:04:06.481Z,2021-07-29T15:04:06.481Z
3224,2153,100,12.1,2021-07-29T15:04:06.484Z,2021-07-29T15:04:06.484Z
3225,2159,31,21.23,2021-07-29T15:04:06.505Z,2021-07-29T15:04:06.505Z
3226,2159,100,19.3,2021-07-29T15:04:06.508Z,2021-07-29T15:04:06.508Z
3227,2154,31,9.35,2021-07-29T15:04:06.531Z,2021-07-29T15:04:06.531Z
3228,2154,100,8.5,2021-07-29T15:04:06.533Z,2021-07-29T15:04:06.533Z
3229,2158,31,19.36,2021-07-29T15:04:06.555Z,2021-07-29T15:04:06.555Z
3230,2158,100,17.6,2021-07-29T15:04:06.558Z,2021-07-29T15:04:06.558Z
3231,2157,31,17.38,2021-07-29T15:04:06.580Z,2021-07-29T15:04:06.580Z
3232,2157,100,15.8,2021-07-29T15:04:06.582Z,2021-07-29T15:04:06.582Z
3233,2155,31,19.25,2021-07-29T15:04:06.604Z,2021-07-29T15:04:06.604Z
3234,2155,100,17.5,2021-07-29T15:04:06.607Z,2021-07-29T15:04:06.607Z
3235,2152,31,15.62,2021-07-29T15:04:06.629Z,2021-07-29T15:04:06.629Z
3236,2152,100,14.2,2021-07-29T15:04:06.631Z,2021-07-29T15:04:06.631Z
3237,2160,31,20.46,2021-07-29T15:04:06.653Z,2021-07-29T15:04:06.653Z
3238,2160,100,18.6,2021-07-29T15:04:06.655Z,2021-07-29T15:04:06.655Z
3239,2156,31,21.89,2021-07-29T15:04:06.678Z,2021-07-29T15:04:06.678Z
3240,2156,100,19.9,2021-07-29T15:04:06.680Z,2021-07-29T15:04:06.680Z
3241,2161,31,18.26,2021-07-29T15:04:06.704Z,2021-07-29T15:04:06.704Z
3242,2161,100,16.6,2021-07-29T15:04:06.707Z,2021-07-29T15:04:06.707Z
3243,2162,31,11.33,2021-07-29T15:04:06.728Z,2021-07-29T15:04:06.728Z
3244,2162,100,10.3,2021-07-29T15:04:06.730Z,2021-07-29T15:04:06.730Z
