id,colour_name,pantone,hex,material_id,created_at,updated_at,deleted_at,image,leftover
1939,,,,1989,2021-02-09T21:46:34.255Z,2021-02-09T21:46:34.255Z,,,
135,,,,178,2020-09-02T07:48:24.780Z,2021-03-06T07:52:02.183Z,,,0
48,,,,73,2020-09-02T07:48:23.590Z,2021-03-06T07:52:02.647Z,,,0
54,,,,79,2020-09-02T07:48:23.669Z,2021-03-06T07:52:02.976Z,,,0
61,,,,86,2020-09-02T07:48:23.759Z,2021-03-06T07:52:03.269Z,,,0
335,,,,616,2020-09-02T07:48:27.607Z,2021-03-06T08:21:47.835Z,,,0
25,,,,49,2020-09-02T07:48:23.294Z,2021-03-06T08:21:48.120Z,,,0
114,,,,149,2020-09-02T07:48:24.508Z,2021-03-06T08:21:49.190Z,,,6
4,,,,28,2020-09-02T07:48:22.965Z,2020-10-19T08:19:00.194Z,,,0
6,,,,30,2020-09-02T07:48:22.992Z,2020-10-19T08:19:00.216Z,,,0
7,,,,31,2020-09-02T07:48:23.005Z,2020-10-19T08:19:00.227Z,,,0
9,,,,33,2020-09-02T07:48:23.031Z,2020-10-19T08:19:00.249Z,,,0
10,,,,34,2020-09-02T07:48:23.044Z,2020-10-19T08:19:00.260Z,,,0
12,,,,36,2020-09-02T07:48:23.071Z,2020-10-19T08:19:00.282Z,,,0
13,,,,37,2020-09-02T07:48:23.084Z,2020-10-19T08:19:00.292Z,,,0
15,,,,39,2020-09-02T07:48:23.110Z,2020-10-19T08:19:00.315Z,,,0
16,,,,40,2020-09-02T07:48:23.122Z,2020-10-19T08:19:00.325Z,,,0
18,,,,42,2020-09-02T07:48:23.147Z,2020-10-19T08:19:00.347Z,,,0
19,,,,43,2020-09-02T07:48:23.160Z,2020-10-19T08:19:00.358Z,,,0
21,,,,45,2020-09-02T07:48:23.185Z,2020-10-19T08:19:00.379Z,,,0
22,,,,46,2020-09-02T07:48:23.198Z,2020-10-19T08:19:00.389Z,,,0
27,,,,51,2020-09-02T07:48:23.319Z,2020-10-19T08:19:00.444Z,,,0
28,,,,52,2020-09-02T07:48:23.332Z,2020-10-19T08:19:00.456Z,,,0
30,,,,54,2020-09-02T07:48:23.357Z,2020-10-19T08:19:00.477Z,,,0
31,,,,55,2020-09-02T07:48:23.370Z,2020-10-19T08:19:00.487Z,,,0
33,,,,57,2020-09-02T07:48:23.396Z,2020-10-19T08:19:00.508Z,,,0
34,,,,58,2020-09-02T07:48:23.408Z,2020-10-19T08:19:00.519Z,,,0
36,,,,60,2020-09-02T07:48:23.434Z,2020-10-19T08:19:00.541Z,,,0
37,,,,61,2020-09-02T07:48:23.447Z,2020-10-19T08:19:00.554Z,,,0
39,,,,63,2020-09-02T07:48:23.472Z,2020-10-19T08:19:00.575Z,,,0
40,,,,64,2020-09-02T07:48:23.485Z,2020-10-19T08:19:00.586Z,,,0
42,,,,66,2020-09-02T07:48:23.511Z,2020-10-19T08:19:00.609Z,,,6
43,,,,67,2020-09-02T07:48:23.525Z,2020-10-19T08:19:00.621Z,,,0
45,,,,69,2020-09-02T07:48:23.550Z,2020-10-19T08:19:00.643Z,,,0
46,,,,71,2020-09-02T07:48:23.564Z,2020-10-19T08:19:00.654Z,,,20
49,,,,74,2020-09-02T07:48:23.603Z,2020-10-19T08:19:00.688Z,,,0
51,,,,76,2020-09-02T07:48:23.630Z,2020-10-19T08:19:00.710Z,,,0
52,,,,77,2020-09-02T07:48:23.643Z,2020-10-19T08:19:00.720Z,,,0
55,,,,80,2020-09-02T07:48:23.682Z,2020-10-19T08:19:00.754Z,,,0
57,,,,82,2020-09-02T07:48:23.708Z,2020-10-19T08:19:00.775Z,,,0
58,,,,83,2020-09-02T07:48:23.720Z,2020-10-19T08:19:00.787Z,,,0
60,,,,85,2020-09-02T07:48:23.746Z,2020-10-19T08:19:00.811Z,,,0
63,,,,88,2020-09-02T07:48:23.786Z,2020-10-19T08:19:00.844Z,,,0
64,,,,89,2020-09-02T07:48:23.799Z,2020-10-19T08:19:00.855Z,,,0
66,,,,91,2020-09-02T07:48:23.825Z,2020-10-19T08:19:00.877Z,,,0
67,,,,92,2020-09-02T07:48:23.838Z,2020-10-19T08:19:00.888Z,,,0
69,,,,94,2020-09-02T07:48:23.863Z,2020-10-19T08:19:00.909Z,,,0
70,,,,95,2020-09-02T07:48:23.876Z,2020-10-19T08:19:00.920Z,,,0
72,,,,97,2020-09-02T07:48:23.902Z,2020-10-19T08:19:00.942Z,,,0
73,,,,98,2020-09-02T07:48:23.914Z,2020-10-19T08:19:00.953Z,,,0
75,,,,100,2020-09-02T07:48:23.940Z,2020-10-19T08:19:00.975Z,,,0
76,,,,101,2020-09-02T07:48:23.953Z,2020-10-19T08:19:00.986Z,,,0
78,,,,103,2020-09-02T07:48:23.979Z,2020-10-19T08:19:01.009Z,,,0
79,,,,106,2020-09-02T07:48:23.992Z,2020-10-19T08:19:01.022Z,,,0
81,,,,108,2020-09-02T07:48:24.082Z,2020-10-19T08:19:01.045Z,,,0
